"","Symbol","Name","LastSale","Sector","industry","Price/Book","P/E Ratio","Price/EPS Estimate Next Year","Dividend Yield","Market Capitalization","Shares Outstanding","Book Value","Earnings End Time","Earnings Start Time"
"1","DDD","3D Systems Corporation",12.14,"Technology","Computer Software: Prepackaged Software",2.259866,NA,37.937504,NA,1386157440,114181000,5.372,1552939200,1552420800
"2","MMM","3M Company",207.49,"Health Care","Medical/Dental Instruments",12.212479,23.339706,17.948961,0.026230773,119472742400,575800000,16.99,1524832200,1524486600
"3","WBAI","500.com Limited",15.69,"Consumer Services","Services-Misc. Amusement & Recreation",3.2277308,NA,60.346153,NA,667146624,42520500,4.861,1495456200,1495110600
"4","WUBA","58.com Inc.",62.13,"Technology","Computer Software: Programming, Data Processing",2.8194773,30.605913,19.537735,NA,9203876864,148139008,22.036,1552311000,1551879000
"5","EGHT","8x8 Inc",19.52,"Technology","EDP Services",8.198236,NA,-130.13333,NA,1867179904,95654704,2.381,1559044800,1558522740
"6","AHC","A.H. Belo Corporation",3.99,"Consumer Services","Newspapers/Magazines",0.9937734,12.239264,8.866667,0.07901234,86354376,19173200,4.015,1533303000,1532957400
"7","AOS","A.O Smith Corporation",52.58,"Consumer Durables","Consumer Electronics/Appliances",5.1493487,20.379847,17.703705,0.014635085,8828865536,141852992,10.211,1556541000,1556022600
"8","ATEN","A10 Networks, Inc.",7.01,"Technology","Computer Communications Equipment",4.9857755,NA,31.863638,NA,517326816,73798400,1.406,1550064600,1549546200
"9","AAC","AAC Holdings, Inc.",2.87,"Health Care","Medical Specialities",0.4871011,NA,41,NA,70608888,24602400,5.892,NA,NA
"10","AIR","AAR Corp.",36.57,"Capital Goods","Aerospace",1.3524407,26.158798,12.069307,0.008212429,1256384256,34355600,27.04,1553284800,1552939200
"11","AAN","Aaron&#39;s,  Inc.",54.85,"Technology","Diversified Commercial Services",2.0929523,19.730215,12.726218,0.0023024497,3686078720,67202896,26.207,1556541000,1556109000
"12","ABB","ABB Ltd",19.57,"Consumer Durables","Electrical Products",2.9905255,19.205101,12.155279,0.0412481,41562570752,2131800064,6.544,NA,NA
"13","ABT","Abbott Laboratories",78.59,"Health Care","Major Pharmaceuticals",4.5203037,59.134686,21.830555,0.014944601,138040967168,1756470016,17.386,1555936200,1555417800
"14","ABBV","AbbVie Inc.",80.1,"Health Care","Major Pharmaceuticals",-14.025564,21.885244,8.494167,0.049848564,120488026112,1504220032,-5.711,1556541000,1556109000
"15","ANF","Abercrombie & Fitch Company",22.4,"Consumer Services","Clothing/Shoe/Accessory Stores",1.311629,29.986614,20.18018,0.036446467,1474930176,65845100,17.078,1552311000,1551792600
"16","ABM","ABM Industries Incorporated",36.01,"Finance","Diversified Commercial Services",1.6339958,24.3805,16.004444,0.019629838,2384221952,66210000,22.038,1552078800,1551733200
"17","AKR","Acadia Realty Trust",27.93,"Consumer Services","Real Estate Investment Trusts",1.5607711,73.5,66.5,0.03825904,2370779392,81553296,17.895,1556884800,1556535540
"18","ACN","Accenture plc",164.2,"Miscellaneous","Business Services",8.254575,25.222733,20.837563,0.017288387,104669126656,637449024,19.892,1553517000,1553085000
"19","ACCO","Acco Brands Corporation",9.32,"Consumer Durables","Publishing",1.2125943,9.32,7.169231,0.025806451,957536768,102740000,7.686,1556886600,1556541000
"20","ATV","Acorn International, Inc.",29.5,"Consumer Services","Other Specialty Stores",0.87808484,7.5757575,NA,NA,73557360,2580960,32.457,1552311000,1551792600
"21","ATU","Actuant Corporation",24.49,"Technology","Industrial Machinery/Components",2.782006,NA,18.27612,0.0016359917,1496946304,61124800,8.803,1553517000,1552998600
"22","AYI","Acuity Brands, Inc. ",132.28,"Consumer Durables","Building Products",3.0219543,15.001134,12.830261,0.003996311,5223737344,39490000,43.773,1554726600,1554208200
"23","GOLF","Acushnet Holdings Corp.",25.3,"Consumer Non-Durables","Recreational Products/Toys",2.1136172,18.937126,15.714285,0.020473706,1891430400,74760096,11.97,1552311000,1551792600
"24","AGRO","Adecoagro S.A.",7.08,"Consumer Non-Durables","Farming/Seeds/Milling",0.8101613,NA,19.135134,NA,825216448,116556000,8.739,1552939200,1552507200
"25","ADNT","Adient plc",19.28,"Capital Goods","Auto Parts:O.E.M.",0.7620554,NA,4.4526563,0.04243827,1803304704,93532400,25.3,1557145800,1556713800
"26","ADT","ADT Inc.",7.96,"Consumer Services","Diversified Commercial Services",1.3759724,32.62295,7.439252,0.013125,6022440960,756588032,5.785,NA,NA
"27","ATGE","Adtalem Global Education Inc.",49.26,"Consumer Services","Other Consumer Services",2.0013,27.442896,15.064219,0,2846242816,57780000,24.614,NA,NA
