"","Symbol","Name","LastSale","MarketCap","Sector","industry"
"1","DDD","3D Systems Corporation","12.14","$1.39B","Technology","Computer Software: Prepackaged Software"
"2","MMM","3M Company","207.49","$119.47B","Health Care","Medical/Dental Instruments"
"3","WBAI","500.com Limited","15.69","$666.6M","Consumer Services","Services-Misc. Amusement & Recreation"
"4","WUBA","58.com Inc.","62.13","$9.2B","Technology","Computer Software: Programming, Data Processing"
"5","EGHT","8x8 Inc","19.52","$1.87B","Technology","EDP Services"
"6","AHC","A.H. Belo Corporation","3.99","$86.35M","Consumer Services","Newspapers/Magazines"
"7","AOS","A.O Smith Corporation","52.58","$8.83B","Consumer Durables","Consumer Electronics/Appliances"
"8","ATEN","A10 Networks, Inc.","7.01","$517.33M","Technology","Computer Communications Equipment"
"9","AAC","AAC Holdings, Inc.","2.87","$70.61M","Health Care","Medical Specialities"
"10","AIR","AAR Corp.","36.57","$1.28B","Capital Goods","Aerospace"
"11","AAN","Aaron&#39;s,  Inc.","54.85","$3.98B","Technology","Diversified Commercial Services"
"12","ABB","ABB Ltd","19.57","$41.72B","Consumer Durables","Electrical Products"
"13","ABT","Abbott Laboratories","78.59","$138.04B","Health Care","Major Pharmaceuticals"
"14","ABBV","AbbVie Inc.","80.1","$120.49B","Health Care","Major Pharmaceuticals"
"15","ANF","Abercrombie & Fitch Company","22.4","$1.47B","Consumer Services","Clothing/Shoe/Accessory Stores"
"16","ABM","ABM Industries Incorporated","36.01","$2.38B","Finance","Diversified Commercial Services"
"17","AKR","Acadia Realty Trust","27.93","$2.28B","Consumer Services","Real Estate Investment Trusts"
"18","ACN","Accenture plc","164.2","$104.88B","Miscellaneous","Business Services"
"19","ACCO","Acco Brands Corporation","9.32","$957.53M","Consumer Durables","Publishing"
"20","ATV","Acorn International, Inc.","29.5","$79.06M","Consumer Services","Other Specialty Stores"
"21","ATU","Actuant Corporation","24.49","$1.5B","Technology","Industrial Machinery/Components"
"22","AYI","Acuity Brands, Inc. ","132.28","$5.28B","Consumer Durables","Building Products"
"23","GOLF","Acushnet Holdings Corp.","25.3","$1.89B","Consumer Non-Durables","Recreational Products/Toys"
"24","AGRO","Adecoagro S.A.","7.08","$825.21M","Consumer Non-Durables","Farming/Seeds/Milling"
"25","ADNT","Adient plc","19.28","$1.8B","Capital Goods","Auto Parts:O.E.M."
"26","ADT","ADT Inc.","7.96","$6.1B","Consumer Services","Diversified Commercial Services"
"27","ATGE","Adtalem Global Education Inc.","49.26","$2.85B","Consumer Services","Other Consumer Services"
"28","AAP","Advance Auto Parts Inc","160.62","$11.51B","Consumer Services","Other Specialty Stores"
